lat,lon,deltaN,topo
-89.500000,105.499992,81.334446,-1738090.577559
-89.500000,106.499992,81.375094,-1738092.537184
-89.500000,107.499992,81.416711,-1738091.688130
-89.500000,108.499992,81.459358,-1738088.197479
-89.500000,109.499992,81.503097,-1738082.245834
-89.500000,110.499992,81.547987,-1738074.025606
-89.500000,111.499992,81.594082,-1738063.739245
-89.500000,112.499992,81.641431,-1738051.597442
-89.500000,113.499992,81.690077,-1738037.817332
-89.500000,114.499992,81.740060,-1738022.620705
-89.500000,115.499992,81.791411,-1738006.232252
-89.500000,116.499992,81.844152,-1737988.877848
-89.500000,117.499992,81.898299,-1737970.782892
-89.500000,118.499992,81.953859,-1737952.170711
-89.500000,119.499992,82.010831,-1737933.261032
-89.500000,120.499992,82.069201,-1737914.268519
-89.500000,121.499992,82.128949,-1737895.401395
-89.500000,122.499992,82.190044,-1737876.860130
-89.500000,123.499992,82.252444,-1737858.836201
-89.500000,124.499992,82.316099,-1737841.510926
-89.500000,125.499992,82.380947,-1737825.054370
-89.500000,126.499991,82.446918,-1737809.624309
-89.500000,127.499991,82.513933,-1737795.365275
-89.500000,128.499991,82.581902,-1737782.407653
-89.500000,129.499991,82.650730,-1737770.866864
-89.500000,130.499991,82.720311,-1737760.842604
-89.500000,131.499991,82.790533,-1737752.418173
-89.500000,132.499991,82.861278,-1737745.659882
-89.500000,133.499991,82.932422,-1737740.616556
-89.500000,134.499991,83.003836,-1737737.319135
-89.500000,135.499991,83.075387,-1737735.780389
-89.500000,136.499991,83.146939,-1737735.994764
-89.500000,137.499991,83.218352,-1737737.938355
-89.500000,138.499991,83.289486,-1737741.569035
-89.500000,139.499991,83.360201,-1737746.826732
-89.500000,140.499991,83.430356,-1737753.633887
-89.500000,141.499991,83.499811,-1737761.896080
-89.500000,142.499991,83.568429,-1737771.502834
-89.500000,143.499991,83.636074,-1737782.328608
-89.500000,144.499991,83.702615,-1737794.233968
-89.500000,145.499991,83.767924,-1737807.066932
-89.500000,146.499991,83.831879,-1737820.664490
-89.500000,147.499991,83.894362,-1737834.854268
-89.500000,148.499991,83.955260,-1737849.456344
-89.500000,149.499991,84.014470,-1737864.285168
-89.500000,150.499991,84.071893,-1737879.151590
-89.500000,151.499991,84.127435,-1737893.864943
-89.500000,152.499991,84.181015,-1737908.235179
-89.500000,153.499991,84.232554,-1737922.074993
-89.500000,154.499991,84.281983,-1737935.201944
-89.500000,155.499991,84.329240,-1737947.440500
-89.500000,156.499991,84.374273,-1737958.623998
-89.500000,157.499991,84.417035,-1737968.596489
-89.500000,158.499991,84.457487,-1737977.214417
-89.500000,159.499991,84.495597,-1737984.348135
-89.500000,160.499991,84.531342,-1737989.883201
-89.500000,161.499991,84.564705,-1737993.721468
-89.500000,162.499990,84.595676,-1737995.781927
-89.500000,163.499990,84.624249,-1737996.001301
-89.500000,164.499990,84.650428,-1737994.334392
-89.500000,165.499990,84.674220,-1737990.754166
-89.500000,166.499990,84.695638,-1737985.251591
-89.500000,167.499990,84.714700,-1737977.835239
-89.500000,168.499990,84.731429,-1737968.530656
-89.500000,169.499990,84.745853,-1737957.379528
-89.500000,170.499990,84.758002,-1737944.438659
-89.500000,171.499990,84.767912,-1737929.778795
-89.500000,172.499990,84.775620,-1737913.483307
-89.500000,173.499990,84.781169,-1737895.646777
-89.500000,174.499990,84.784603,-1737876.373509
-89.500000,175.499990,84.785969,-1737855.775989
-89.500000,176.499990,84.785318,-1737833.973343
-89.500000,177.499990,84.782702,-1737811.089794
-89.500000,178.499990,84.778176,-1737787.253165
-89.500000,179.499990,84.771798,-1737762.593437
-88.500000,-179.500000,118.288053,-1737867.000059
-88.500000,-178.500000,118.326541,-1737715.096876
-88.500000,-177.500000,118.347193,-1737578.465055
-88.500000,-176.500000,118.350357,-1737459.321793
-88.500000,-175.500000,118.336188,-1737358.624654
-88.500000,-174.500000,118.304678,-1737276.195827
-88.500000,-173.500000,118.255696,-1737210.929698
-88.500000,-172.500000,118.189049,-1737161.062334
-88.500000,-171.500000,118.104551,-1737124.477134
-88.500000,-170.500000,118.002100,-1737099.018759
-88.500000,-169.500000,117.881762,-1737082.787551
-88.500000,-168.500000,117.743845,-1737074.388992
-88.500000,-167.500000,117.588960,-1737073.117138
-88.500000,-166.500000,117.418071,-1737079.057018
-88.500000,-165.500000,117.232516,-1737093.098241
-88.500000,-164.500000,117.034004,-1737116.859836
-88.500000,-163.500000,116.824578,-1737152.534123
-88.500000,-162.500000,116.606551,-1737202.664396
-88.500000,-161.500001,116.382409,-1737269.876896
-88.500000,-160.500001,116.154695,-1737356.591396
-88.500000,-159.500001,115.925877,-1737464.736453
-88.500000,-158.500001,115.698207,-1737595.494803
-88.500000,-157.500001,115.473594,-1737749.101607
-88.500000,-156.500001,115.253488,-1737924.713514
-88.500000,-155.500001,115.038795,-1738120.360292
-88.500000,-154.500001,114.829836,-1738332.983651
-88.500000,-153.500001,114.626338,-1738558.560463
-88.500000,-152.500001,114.427476,-1738792.300621
-88.500000,-151.500001,114.231963,-1739028.903797
-88.500000,-150.500001,114.038160,-1739262.854911
-88.500000,-149.500001,113.844228,-1739488.735530
-88.500000,-148.500001,113.648279,-1739701.527778
-88.500000,-147.500001,113.448535,-1739896.888723
-88.500000,-146.500001,113.243465,-1740071.376193
-88.500000,-145.500001,113.031895,-1740222.611432
-88.500000,-144.500001,112.813091,-1740349.369228
-88.500000,-143.500001,112.586788,-1740451.591805
-88.500000,-142.500001,112.353185,-1740530.328279
-88.500000,-141.500001,112.112903,-1740587.606429
-88.500000,-140.500001,111.866908,-1740626.247622
-88.500000,-139.500001,111.616415,-1740649.638736
-88.500000,-138.500001,111.362783,-1740661.476774
-88.500000,-137.500001,111.107413,-1740665.502593
-88.500000,-136.500001,110.851654,-1740665.239901
-88.500000,-135.500001,110.596740,-1740663.754593
-88.500000,-134.500001,110.343737,-1740663.447782
-88.500000,-133.500001,110.093532,-1740665.893685
-88.500000,-132.500001,109.846842,-1740671.731062
-88.500000,-131.500001,109.604236,-1740680.614193
-88.500000,-130.500001,109.366189,-1740691.226526
-88.500000,-129.500001,109.133122,-1740701.357124
-88.500000,-128.500001,108.905457,-1740708.036959
-88.500000,-127.500001,108.683651,-1740707.728902
-88.500000,-126.500001,108.468228,-1740696.562117
-88.500000,-125.500002,108.259782,-1740670.598529
-88.500000,-124.500002,108.058975,-1740626.116383
-88.500000,-123.500002,107.866509,-1740559.893795
-88.500000,-122.500002,107.683092,-1740469.473973
-88.500000,-121.500002,107.509399,-1740353.393642
-88.500000,-120.500002,107.346027,-1740211.357356
-88.500000,-119.500002,107.193457,-1740044.342957
-88.500000,-118.500002,107.052028,-1739854.627387
-88.500000,-117.500002,106.921913,-1739645.727195
-88.500000,-116.500002,106.803119,-1739422.254139
-88.500000,-115.500002,106.695495,-1739189.692706
-88.500000,-114.500002,106.598744,-1738954.112707
-88.500000,-113.500002,106.512449,-1738721.835671
-88.500000,-112.500002,106.436097,-1738499.078050
-88.500000,-111.500002,106.369100,-1738291.596725
-88.500000,-110.500002,106.310812,-1738104.362696
-88.500000,-109.500002,106.260535,-1737941.286999
-88.500000,-108.500002,106.217520,-1737805.018923
-88.500000,-107.500002,106.180952,-1737696.830861
-88.500000,-106.500002,106.149942,-1737616.597091
-88.500000,-105.500002,106.123503,-1737562.866190
-88.500000,-104.500002,106.100545,-1737533.019256
-88.500000,-103.500002,106.079868,-1737523.499471
-88.500000,-102.500002,106.060171,-1737530.093315
-88.500000,-101.500002,106.040081,-1737548.240455
-88.500000,-100.500002,106.018196,-1737573.348129
-88.500000,-99.500002,105.993147,-1737601.086867
-88.500000,-98.500002,105.963669,-1737627.647255
-88.500000,-97.500002,105.928691,-1737649.941914
-88.500000,-96.500002,105.887414,-1737665.742249
-88.500000,-95.500002,105.839396,-1737673.745392
-88.500000,-94.500002,105.784606,-1737673.572334
-88.500000,-93.500002,105.723474,-1737665.703293
-88.500000,-92.500002,105.656892,-1737651.360210
-88.500000,-91.500002,105.586194,-1737632.349013
-88.500000,-90.500002,105.513093,-1737610.875632
-88.500000,-89.500003,105.439583,-1737589.349957
-88.500000,-88.500003,105.367809,-1737570.191091
-88.500000,-87.500003,105.299912,-1737555.645736
-88.500000,-86.500003,105.237854,-1737547.629476
-88.500000,-85.500003,105.183240,-1737547.598538
-88.500000,-84.500003,105.137148,-1737556.457279
-88.500000,-83.500003,105.099976,-1737574.504496
-88.500000,-82.500003,105.071327,-1737601.419582
-88.500000,-81.500003,105.049927,-1737636.287619
-88.500000,-80.500003,105.033614,-1737677.660702
-88.500000,-79.500003,105.019367,-1737723.651063
-88.500000,-78.500003,105.003412,-1737772.049938
-88.500000,-77.500003,104.981379,-1737820.464688
-88.500000,-76.500003,104.948508,-1737866.465437
-88.500000,-75.500003,104.899909,-1737907.731693
-88.500000,-74.500003,104.830830,-1737942.189131
-88.500000,-73.500003,104.736948,-1737968.127060
-88.500000,-72.500003,104.614635,-1737984.288240
-88.500000,-71.500003,104.461195,-1737989.924600
-88.500000,-70.500003,104.275052,-1737984.814943
-88.500000,-69.500003,104.055859,-1737969.243840
-88.500000,-68.500003,103.804540,-1737943.944218
-88.500000,-67.500003,103.523236,-1737910.009420
-88.500000,-66.500003,103.215176,-1737868.783352
-88.500000,-65.500003,102.884467,-1737821.739478
-88.500000,-64.500003,102.535830,-1737770.360449
-88.500000,-63.500003,102.174288,-1737716.030116
-88.500000,-62.500003,101.804846,-1737659.948305
-88.500000,-61.500003,101.432173,-1737603.076242
-88.500000,-60.500003,101.060314,-1737546.117132
-88.500000,-59.500003,100.692462,-1737489.532418
-88.500000,-58.500003,100.330791,-1737433.590121
-88.500000,-57.500003,99.976373,-1737378.437925
-88.500000,-56.500003,99.629174,-1737324.190624
-88.500000,-55.500003,99.288131,-1737271.019756
-88.500000,-54.500003,98.951291,-1737219.232776
-88.500000,-53.500004,98.616009,-1737169.330215
-88.500000,-52.500004,98.279175,-1737122.031766
-88.500000,-51.500004,97.937459,-1737078.265890
-88.500000,-50.500004,97.587548,-1737039.122000
-88.500000,-49.500004,97.226358,-1737005.768925
-88.500000,-48.500004,96.851216,-1736979.347802
-88.500000,-47.500004,96.459990,-1736960.851036
-88.500000,-46.500004,96.051172,-1736951.001262
-88.500000,-45.500004,95.623911,-1736950.144867
-88.500000,-44.500004,95.178003,-1736958.173546
-88.500000,-43.500004,94.713839,-1736974.484661
-88.500000,-42.500004,94.232330,-1736997.987081
-88.500000,-41.500004,93.734813,-1737027.154203
-88.500000,-40.500004,93.222948,-1737060.120579
-88.500000,-39.500004,92.698616,-1737094.813591
-88.500000,-38.500004,92.163830,-1737129.107532
-88.500000,-37.500004,91.620649,-1737160.984819
-88.500000,-36.500004,91.071114,-1737188.688101
-88.500000,-35.500004,90.517198,-1737210.847986
-88.500000,-34.500004,89.960769,-1737226.573797
-88.500000,-33.500004,89.403562,-1737235.498897
-88.500000,-32.500004,88.847168,-1737237.777216
-88.500000,-31.500004,88.293024,-1737234.033031
-88.500000,-30.500004,87.742405,-1737225.271193
-88.500000,-29.500004,87.196431,-1737212.759180
-88.500000,-28.500004,86.656061,-1737197.895146
-88.500000,-27.500004,86.122099,-1737182.077200
-88.500000,-26.500004,85.595197,-1737166.588318
-88.500000,-25.500004,85.075860,-1737152.508781
-88.500000,-24.500004,84.564456,-1737140.664072
-88.500000,-23.500004,84.061228,-1737131.611313
-88.500000,-22.500004,83.566305,-1737125.662204
-88.500000,-21.500004,83.079727,-1737122.935637
-88.500000,-20.500004,82.601456,-1737123.429341
-88.500000,-19.500004,82.131411,-1737127.097570
-88.500000,-18.500004,81.669481,-1737133.921260
-88.500000,-17.500005,81.215559,-1737143.958336
-88.500000,-16.500005,80.769561,-1737157.364872
-88.500000,-15.500005,80.331444,-1737174.382127
-88.500000,-14.500005,79.901228,-1737195.289684
-88.500000,-13.500005,79.479003,-1737220.330235
-88.500000,-12.500005,79.064934,-1737249.616387
-88.500000,-11.500005,78.659258,-1737283.033484
-88.500000,-10.500005,78.262276,-1737320.154379
-88.500000,-9.500005,77.874336,-1737360.181977
-88.500000,-8.500005,77.495816,-1737401.933153
-88.500000,-7.500005,77.127097,-1737443.873421
-88.500000,-6.500005,76.768545,-1737484.206026
-88.500000,-5.500005,76.420490,-1737521.012415
-88.500000,-4.500005,76.083210,-1737552.434244
-88.500000,-3.500005,75.756925,-1737576.880845
-88.500000,-2.500005,75.441801,-1737593.241378
-88.500000,-1.500005,75.137957,-1737601.078177
-88.500000,-0.500005,74.845488,-1737600.777705
-88.500000,0.499995,74.564484,-1737593.638049
-88.500000,1.499995,74.295065,-1737581.877027
-88.500000,2.499995,74.037386,-1737568.552209
-88.500000,3.499995,73.791661,-1737557.392844
-88.500000,4.499995,73.558161,-1737552.552902
-88.500000,5.499995,73.337189,-1737558.303252
-88.500000,6.499995,73.129045,-1737578.688372
-88.500000,7.499995,72.933970,-1737617.178075
-88.500000,8.499995,72.752070,-1737676.346931
-88.500000,9.499995,72.583234,-1737757.612892
-88.500000,10.499995,72.427050,-1737861.062273
-88.500000,11.499995,72.282728,-1737985.380790
-88.500000,12.499995,72.149039,-1738127.900732
-88.500000,13.499995,72.024287,-1738284.763334
-88.500000,14.499995,71.906313,-1738451.184139
-88.500000,15.499995,71.792536,-1738621.798880
-88.500000,16.499995,71.680044,-1738791.059115
-88.500000,17.499995,71.565706,-1738953.641532
-88.500000,18.499994,71.446334,-1739104.833117
-88.500000,19.499994,71.318843,-1739240.856415
-88.500000,20.499994,71.180434,-1739359.104871
-88.500000,21.499994,71.028745,-1739458.267092
-88.500000,22.499994,70.862003,-1739538.329960
-88.500000,23.499994,70.679113,-1739600.462716
-88.500000,24.499994,70.479720,-1739646.796160
